Sample,(P1) Function Signature Insertion,(P2) Import Insertion,(P3) Function Insertion,(P4) Function Body Cloning,(P5) Global Insertion,(P6) Element Insertion,(P7) E-port Insertion,(P8) Data Insertion,(P9) Data Encryption,(P10) Custom Section Insertion,(P11) NOP Insertion,(P12) Stack Operation Insertion - Memory,(P12) Stack Operation Insertion - Numeric,(P12) Stack Operation Insertion - Bitwise,(P12) Stack Operation Insertion - Conversion,(P12) Stack Operation Insertion - Interpretation,(P12) Stack Operation Insertion - Utility,(P13) Opaque Predicate Insertion,(P14) Pro-y Function Insertion,(P15) Direct to Indirect Call Transformation,(P16) Sub->Add Operation Transformation,(P16) Add->Sub Operation Transformation,(P17) Shift Operation Transformation,(P18) Eqz Operation Transformation,(P19) Offset E-pansion,(P20) Transforming -OR to MBA,(P20) Transforming OR to MBA,(P21) Constant Value Splitting,(P22) Constant Value Transformation
57763924,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,-,80,-,-,-,-,90,-,-,-,-,-,-,-
97258773,-,-,-,-,-,-,-,-,-,-,40,-,40,-,-,-,70,-,-,100,70,80,100,60,50,20,-,70,-
046dc081,-,-,-,-,-,-,-,-,-,-,80,-,30,-,-,10,30,-,-,90,50,70,30,40,100,-,-,-,-
1040bab3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,70,-,-,70,30,40,20,30,10,-,100,-,-
14bc804f,-,-,-,-,-,-,-,-,-,-,10,-,60,-,-,20,40,-,-,-,-,10,60,-,-,-,10,-,10
15b86a25,-,-,-,-,-,-,-,-,-,-,60,-,10,-,10,20,50,-,-,60,10,80,20,10,10,40,30,-,-
23b65971,-,-,-,-,-,-,-,-,-,-,10,-,30,-,30,60,10,-,-,30,20,40,30,40,40,60,20,-,-
34f3d4ba,-,-,-,-,-,-,-,-,-,-,20,-,20,-,30,10,30,-,-,-,20,70,30,40,40,-,40,-,-
38d0e89e,-,-,-,-,-,-,-,-,-,-,30,-,70,-,90,80,50,-,-,-,-,-,-,30,60,-,-,-,-
3f5961a8,-,-,-,-,-,-,-,-,-,-,60,-,60,-,10,60,60,-,-,30,-,20,20,-,-,-,50,-,70
47d29959,-,-,-,-,-,-,-,-,-,-,10,-,-,-,70,20,30,-,-,30,60,10,30,40,70,-,-,-,-
483eea72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,60,-,70,-,-,-,-,-,-,-
489ba8af,-,-,-,-,-,-,-,-,-,-,20,-,30,-,10,10,30,-,-,80,40,40,20,10,10,-,-,50,-
5071322d,-,-,-,-,-,-,-,-,-,-,40,-,-,-,-,10,10,-,-,20,10,40,30,10,30,-,-,-,20
5cb9a104,-,-,-,-,-,-,-,-,-,-,20,-,10,-,60,20,30,-,10,60,10,10,10,10,10,-,30,-,20
718ae4d9,-,-,-,-,-,-,-,-,-,-,30,-,10,-,-,80,90,-,50,100,40,10,20,20,10,30,10,10,60
7cf3ef50,-,-,-,-,-,-,-,-,-,-,40,-,20,-,-,60,30,-,30,30,30,10,70,40,60,-,20,20,20
89a3645c,-,-,-,-,-,-,-,-,-,-,10,-,10,-,10,-,80,-,-,30,50,90,10,40,50,-,-,-,-
8c1f5a76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,20,40,-,-,30,50,10,60,40,70,-,50,-,-
8ebf4e44,-,-,-,-,-,-,-,-,-,-,10,-,-,-,10,10,10,-,-,20,10,10,40,50,30,-,-,-,-
942be4f7,-,-,-,-,-,-,-,-,-,-,10,-,10,-,40,10,30,-,-,20,60,10,30,10,30,90,-,-,-
9d30e7f0,-,-,-,-,-,-,-,-,-,-,30,-,20,-,40,10,50,-,-,20,40,20,70,30,-,40,-,-,10
9f84e5c3,-,-,-,-,-,-,-,-,-,-,40,-,30,-,-,90,90,-,-,10,10,30,20,50,30,-,-,-,-
9fdea7a2,-,-,-,-,-,-,-,-,-,-,10,-,10,-,20,10,10,-,-,10,10,40,90,10,30,-,-,20,90
afd034f6,-,-,-,-,-,-,-,-,-,-,80,-,-,-,-,-,50,40,-,70,60,80,20,-,-,-,-,-,-
bb8087b6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,-,-,-,-,90,-,-,-,-,-,-,-
bc2b3cf3,-,-,-,-,-,-,-,-,-,-,10,-,20,-,20,-,20,-,-,-,20,20,20,40,50,-,-,30,20
c09dc318,-,-,-,-,-,-,-,-,-,-,70,-,-,-,30,20,30,-,30,40,40,10,60,70,20,30,30,-,20
c54acc16,-,-,-,-,-,-,-,-,-,-,50,-,20,-,20,10,20,-,60,30,10,10,40,-,-,-,-,-,-
c9085853,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,20,50,-,-,-,-,10,20,40,30,-,-,-,-
cbd97fb3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,-,100,-,-,-,-,-,30,-
cfb676c3,-,-,-,-,-,-,-,-,-,-,30,-,10,-,60,30,30,-,-,10,40,70,30,40,70,-,-,10,-
d2141ff2,-,-,-,-,-,-,-,-,-,-,20,-,10,-,20,10,70,-,-,60,10,30,50,20,30,70,10,-,-
d4538356,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,10,-,-,-,10,30,20,20,-,10,60,40,-,-
dc11d82d,-,-,-,-,-,-,-,-,-,-,20,-,10,-,50,10,20,20,-,60,100,20,50,20,30,-,10,-,-
e02a7988,-,-,-,-,-,-,-,-,-,-,100,-,100,-,-,-,20,-,-,20,-,-,70,40,10,-,-,-,-
